,name,item_id,category_id,discount,rating_score,original_price,price,item_sold_count,temp_category_index
72,12Color/24Color Oil Pastels Colour Set,3385745157,"[22393, 22430, 22744]",93% Off,5.0,333,24.47,509 sold,305
73,"Durer™ T-Square 24""&36""  Wood or Acrylic",2295998400,"[22393, 22430, 22744]",,4.946666666666666,,850,275 sold,305
74,GOLDEN/Snowman Oil Pastel 12's,3780145600,"[22393, 22430, 22744]",,0,,75.4,,305
75,Forest story series INS plant DIY material decorative printing seal,3806425097,"[22393, 22430, 22744]",,5.0,,105,,305
76,Bella Kids Graffiti Scroll Coloring Painting Drawing Paper Long Scroll Kindergarten Baby Coloring Canvas Can Be Attached To The Wall,4187966410,"[22393, 22430, 22744]",68% Off,5.0,299,96.92,51 sold,305
77,Lion City Dermatograph Pencil 1Dozen (12 Pieces),278191284,"[22393, 22430, 22744]",,4.9222222222222225,,155,921 sold,305
78,Procreate Full Set Professional Drawing Brushes | Lifetime Access | 8GB,3971416595,"[22393, 22430, 22744]",65% Off,0,399,139,,305
79,Faber Castell colored pencil/Drawing/colors,3828569971,"[22393, 22430, 22744]",,0,,221,,305
80,Face Portrait Drawing Realistic Graphite Pre-order Different Sizes #portrait #graphite #draw,3742618106,"[22393, 22430, 22744]",,5.0,,250,,305
81,Adjustable Drafting Board,2085932444,"[22393, 22430, 22744]",,5.0,,2800,,305
82,12/18/24/36 pcs DUAL HEAD COLORING BRUSH PEN MARKER,3645522777,"[22393, 22430, 22744]",56% Off,4.955947136563877,194,85,"1,524 sold",305
83,CRAYOLA CRAYONS /ASSORTED COLORS/64PCS /BOX,3746792091,"[22393, 22430, 22744]",,0,,320,,305
84,12colors Oil pastels Potato Cat Smooth rich colors,2852475637,"[22393, 22430, 22744]",52% Off,5.0,66,32,166 sold,305
85,168 Colors Alcohol Marker Art Marker Highlighter Pen Set Color Calligraphy Pen Set Marker Pen  [Luca],3802276818,"[22393, 22430, 22744]",53% Off,0,1500,704.88,,305
86,VECTOR ART CUSTOMIZED A4 SIZE SINTRA,4099130503,"[22393, 22430, 22744]",,0,,200,,305
87,A4 Green soft Laser Rubber Sheet Pad For Printmaking Rubber stamp 300X220X3mm Engraving board,3369642508,"[22393, 22430, 22744]",65% Off,5.0,278,96.92,,305
88,Vector Art Customized | Gift Idea,4097767159,"[22393, 22430, 22744]",,0,,150,,305
89,24 Colors Safety Pigment Educational Learning Toys for Kids Creative Finger Painting Pigment Washable Educational Learning Materials Kids Drawing Set Art Finger Painting Tool Kit,4112888600,"[22393, 22430, 22744]",80% Off,4.909090909090909,388,77.81,48 sold,305
90,barko agad ACRYLIC ALKANSYA  TIP BOX  SUGGESTION BOX  RAFFLE BOX♥️♥️,3691499599,"[22393, 22430, 22744]",50% Off,0,2060.85,1030.42,,305
91,Multi-Purpose Extendable Telescopic Portable Plastic Drafting Storage Drawing Tube 8.5cm Dia.x 110cm,3658037163,"[22393, 22430, 22744]",52% Off,0,500,242,,305
92,ALS 145 PCS CUTE UNICORN ART COLORING DRAWING PAINTING SET with Aluminum Alloy Case,3548692493,"[22393, 22430, 22744]",50% Off,5.0,1199,599,33 sold,305
